,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_10,rmse_11,rmse_12,rmse_13,rmse_14,rmse_15,rmse_16,rmse_17,rmse_18,rmse_19,rmse_20,rmse_21,rmse_22,rmse_23,rmse_24,rmse_25,rmse_26,rmse_27,rmse_28,rmse_29,rmse_30,rmse_31,rmse_32,rmse_33,rmse_34,rmse_35,rmse_36,rmse_37,rmse_38,rmse_39,rmse_40,rmse_41,rmse_42,rmse_43,rmse_44,rmse_45,rmse_46,rmse_47,rmse_48,rmse_49,rmse_50,rmse_51,rmse_52,rmse_53,rmse_54
Aabbey1-InvitationToSummer2009RabbinicalStudySeminarAtHartmanIn262,0.2551586627960205,0.6665357947349548,4.209580898284912,1.4482864141464233,1.4046882390975952,2.3801753520965576,2.7113375663757324,1.715769648551941,4.412135601043701,1.178004264831543,3.4096057415008545,4.209580898284912,1.326064109802246,1.6140272617340088,0.3052574098110199,0.7158429622650146,3.6065573692321777,0.2677121162414551,0.8208060264587402,2.3865368366241455,0.2510313093662262,2.206627607345581,4.398784160614014,0.30368757247924805,0.25387677550315857,0.4104839563369751,0.45426443219184875,1.340025782585144,2.1913399696350098,0.1889030784368515,0.4863326847553253,0.31394824385643005,3.135657548904419,3.364445447921753,2.180528163909912,0.49212536215782166,0.8910282850265503,0.524928629398346,1.7810062170028687,2.601360559463501,1.0403475761413574,0.6079490780830383,4.27440071105957,1.2761493921279907,1.7731486558914185,1.3343842029571533,1.6394850015640259,0.4159983694553375,1.3185924291610718,0.9683274626731873,0.6325910687446594,1.315666675567627,5.888829708099365,2.9995579719543457
Aabbey1-RachelSabathBeitHalachmiThreeModelsOfTorahOnCelebrating136,0.3289497494697571,0.16327394545078278,0.016328351572155952,0.02644277736544609,0.024988215416669846,0.0954723134636879,0.5037145614624023,0.42853018641471863,0.5510808825492859,0.3780073821544647,0.07568220049142838,0.02398524433374405,0.02913883700966835,0.0,0.0,0.2986477315425873,0.2208014726638794,0.02259129099547863,0.1246052160859108,0.0,0.02469594031572342,0.45110270380973816,0.6663656830787659,0.34643876552581787,0.07441344112157822,0.478382408618927,0.4866335690021515,0.07319007068872452,0.5220549702644348,0.773534893989563,0.18629659712314606,0.23136314749717712,0.24228839576244354,0.0,0.2567388713359833,0.5552406907081604,0.18581189215183258,0.8167702555656433,0.340408056974411,0.3718152642250061,0.10856124758720398,0.0,0.351485937833786,0.0744495540857315,0.02528463304042816,0.1065930500626564,0.37913501262664795,0.024258773773908615,0.11224031448364258,0.43480223417282104,0.08308715373277664,0.138615682721138,0.05288049206137657,0.28600382804870605
Aabbey1-ShalomHartmanInstitutesInnovativeTheologyConference661,0.026648612692952156,0.0423884317278862,0.0839150995016098,0.15720628201961517,0.15461167693138123,0.10872562229633331,0.0,0.2203284502029419,0.2237577736377716,0.19241556525230408,0.13419926166534424,0.19353799521923065,0.31338223814964294,0.0,0.05564142391085625,0.19812551140785217,0.01145407184958458,0.16784358024597168,0.062439970672130585,0.13673755526542664,0.011533075012266636,0.025668958202004433,0.06775575876235962,0.0,0.011813316494226456,0.012240204028785229,0.13004089891910553,0.07466674596071243,0.02276708371937275,0.011704142205417156,0.1833648830652237,0.011798693798482418,0.011974756605923176,0.03844497725367546,0.25755223631858826,0.15337878465652466,0.1542060673236847,0.012516732327640057,0.024767836555838585,0.06052280589938164,0.026314420625567436,0.05555092915892601,0.041336655616760254,0.06619957089424133,0.09234590083360672,0.06716279685497284,0.15925167500972748,0.05447038635611534,0.10266610980033875,0.15461167693138123,0.02993793971836567,0.11386549472808838,0.04707622528076172,0.21198232471942902
Acnethai-414,1.8638911247253418,9.362453965877648e-06,0.47267845273017883,0.6702530980110168,0.8436298370361328,0.4289730489253998,0.8405665159225464,0.35327738523483276,0.44367825984954834,1.6487222909927368,2.338528633117676,0.583954930305481,3.082390546798706,3.486560106277466,1.062821626663208,0.45940232276916504,7.951422214508057,4.447170257568359,0.4904195964336395,0.6958869099617004,0.5767905116081238,1.0065675973892212,0.951302707195282,0.5508018136024475,0.4825805127620697,2.298823595046997,0.9390773177146912,1.4930307865142822,0.47393229603767395,1.527624249458313,0.8261833786964417,0.48763903975486755,0.869529128074646,0.5225375294685364,0.39745399355888367,0.5087791085243225,0.7670716047286987,0.45218655467033386,2.0174944400787354,2.8401191234588623,0.5786481499671936,2.7479894161224365,0.5772323608398438,1.013532042503357,4.202399253845215,1.8190172910690308,0.5129252076148987,2.084052562713623,3.609199047088623,2.262326717376709,1.0962074995040894,0.376630038022995,5.362720966339111,0.9844591021537781
Acnethai-EP4HowToMakeUpForAcneFromBobbiBrown565,3.7444279193878174,2.0312178134918213,3.6944637298583984,0.38850003480911255,1.5902715921401978,3.652437448501587,3.131399631500244,3.24359393119812,3.2062900066375732,4.373261451721191,4.4761247634887695,0.24286018311977386,1.7879455089569092,3.4218010902404785,3.5997474193573,7.032767295837402,2.0702309608459473,3.3689029216766357,1.084118127822876,1.394445776939392,3.8718106746673584,1.7095376253128052,1.37509286403656,4.845300197601318,1.6747156381607056,1.7497040033340454,5.520195007324219,2.6953935623168945,4.0674147605896,0.8054516911506653,3.0714669227600098,5.333978176116943,1.608506679534912,0.9579522013664246,3.0574212074279785,3.7207720279693604,3.2655656337738037,2.606783866882324,3.2415432929992676,1.9484156370162964,3.7690858840942383,3.121495008468628,1.5189697742462158,2.0211338996887207,1.7740741968154907,2.5139963626861572,3.88386607170105,2.238206148147583,3.9217798709869385,2.5553791522979736,5.392941951751709,0.0,7.186611175537109,6.200181484222412
Actorsandcrew-TheBigBreak844,0.7161284685134888,0.1958416998386383,0.3783947229385376,0.10053744912147522,4.3152689933776855,2.3720273971557617,0.4600137770175934,0.7720140218734741,3.5807764530181885,0.08818662166595459,0.1053316593170166,0.6697334051132202,0.5955661535263062,0.6068789958953857,0.05162946507334709,0.13492350280284882,1.024906039237976,0.7535841464996338,1.5477726459503174,0.7791823148727417,0.4482741355895996,5.916698932647705,1.258076786994934,0.19375188648700714,4.868342399597168,0.07578976452350616,0.24190138280391693,1.6979230642318726,0.09081844985485077,1.4989519119262695,0.21949125826358795,2.094217300415039,0.41883042454719543,0.33178263902664185,0.46797528862953186,0.5879735946655273,0.09054456651210785,0.08962655067443848,2.5521655082702637,0.7432296872138977,0.23002980649471283,1.6485681533813477,0.2954651415348053,3.297955274581909,0.38278791308403015,0.18442407250404358,0.16717509925365448,0.45473241806030273,0.49375638365745544,0.6871963143348694,0.6440786719322205,0.9074298739433289,0.6969906091690063,1.0327067375183105
Akachan-XF3ARMYProjectPromo360,9.736615180969238,4.011967658996582,5.62465238571167,7.048177719116211,4.410190105438232,6.456121444702148,6.237812042236328,10.783129692077637,0.0,5.725521564483643,2.9581615924835205,6.080996036529541,0.0,3.21679949760437,0.0,3.7301440238952637,8.460890769958496,6.971382141113281,1.824351191520691,0.05719218775629997,11.037983894348145,6.552485466003418,8.428290367126465,5.694030284881592,9.658919334411621,4.0154805183410645,0.09359612315893173,8.545924186706543,1.266953706741333,7.26068639755249,7.826178073883057,10.326533317565918,8.084977149963379,5.255443096160889,10.231432914733887,11.848238945007324,0.0,5.443126678466797,1.824351191520691,8.03370475769043,2.3403208255767822,3.5672669410705566,6.494933128356934,4.073120594024658,9.84067440032959,2.6138274669647217,10.268351554870605,7.942069053649902,5.9957194328308105,10.783129692077637,6.040131568908691,1.9874930381774902,0.5227624773979187,8.594522476196289
Anglicantv-FCA2009ArchbishopVenables921,1.0131537914276123,1.697392225265503,0.024357926100492477,0.05559343844652176,0.5145581364631653,0.4017326533794403,1.8076403141021729,0.5625786781311035,0.11009765416383743,0.054481420665979385,0.6805301904678345,0.033342670649290085,0.09361109882593155,0.4608035087585449,0.5200127959251404,0.0785217136144638,3.1152334213256836,1.9161646366119385,0.2972255051136017,0.014868528582155704,0.04830333963036537,0.2114054262638092,0.032326482236385345,0.046335313469171524,0.9261510372161865,1.4062634706497192,0.06498918682336807,2.2405245304107666,2.679107904434204,0.07584477961063385,0.04919102415442467,0.6357824802398682,0.03582530841231346,0.6863818168640137,0.042135752737522125,0.14038138091564178,0.16909033060073853,0.060924727469682693,0.03305821493268013,0.44816693663597107,0.027952611446380615,0.08662585914134979,0.06936869770288467,0.40505504608154297,0.594283938407898,0.44953447580337524,0.06627822667360306,0.6722994446754456,0.020794570446014404,1.0499935150146484,0.04751041159033775,0.034487590193748474,0.3566620945930481,0.0714050903916359
Anglicantv-FCA2009BishopBenn159,0.3368392884731293,1.7101178169250488,0.5122214555740356,1.3227918148040771,2.238224506378174,1.5148472785949707,0.6482431292533875,0.2354297935962677,0.10293694585561752,1.112032413482666,1.2872258424758911,1.043278455734253,0.033140771090984344,1.0269750356674194,0.06406895071268082,0.04906557500362396,1.4299405813217163,1.056389570236206,0.15664535760879517,2.2231192588806152,1.7178539037704468,0.7692370414733887,2.757418394088745,0.2944463789463043,2.199692487716675,2.535428524017334,0.10154494643211365,0.37712934613227844,0.5252683758735657,1.596266269683838,0.03384948521852493,0.16570444405078888,0.022223079577088356,2.0434064865112305,0.9191383123397827,1.278346300125122,1.2689318656921387,1.8085365295410156,1.6057358980178833,1.157828688621521,0.09111767262220383,0.6554945707321167,0.8306129574775696,2.3368723392486572,0.7227524518966675,2.5158450603485107,0.04192359372973442,0.39685437083244324,0.25365200638771057,0.10883686691522598,0.01959104835987091,0.48566538095474243,1.30256187915802,1.4574089050292969
Anglicantv-FCA2009InterviewWithArchbishopJensenAndArchbishopVeneabl988,1.9454749822616577,1.4138535261154175,0.37807023525238037,0.12365701049566269,0.13137276470661163,0.14108377695083618,1.8272243738174438,1.0996556282043457,2.9132320880889893,1.4906697273254395,0.3546504080295563,1.7372372150421143,1.0020843744277954,0.4133569896221161,0.5149631500244141,0.5916245579719543,0.22832244634628296,0.5801547765731812,0.1372510939836502,0.2843666076660156,0.2535066306591034,1.5100282430648804,1.0325342416763306,0.16907398402690887,0.14531154930591583,0.6459863781929016,1.1558133363723755,0.7565830945968628,0.38940486311912537,0.3878525495529175,1.9752845764160156,0.8495974540710449,0.8153432011604309,1.026687741279602,0.12189685553312302,1.2108538150787354,2.320355176925659,0.3088637888431549,1.1052422523498535,0.1654355674982071,2.1551358699798584,0.20821139216423035,2.155982494354248,0.09673376381397247,0.7857168316841125,0.2728334367275238,4.689181327819824,1.01412832736969,3.3862268924713135,0.39602455496788025,1.2687665224075317,3.9976065158843994,0.6042523384094238,0.26911213994026184
